Name,Rhone,,,,,,,,,
Location,,,,,,,,,,
Description,,,,,,,,,,
Citations,NASA LANDSAT5; ASTER; Farinotti et. Al (2009); Farinotti et. Al (2010); Zemp et. Al (2007),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
X_downglacier,Bed_elevation,,X_downglacier,Ice_surface,,X_downglacier,Width,,Year,ELA
0,3480,,0,3500,,0,0,,NaN,2918
500,3320,,500,3420,,874,1902,,,
1000,3140,,1000,3260,,1410,2134,,,
1500,3000,,1500,3180,,2080,2510,,,
2000,2940,,2000,3100,,2444,2774,,,
2500,2710,,2500,2980,,3070,3055,,,
3000,2640,,3000,2950,,3680,3256,,,
3500,2600,,3500,2900,,4310,1657,,,
4000,2520,,4000,2870,,4800,1479,,,
4500,2500,,4500,2850,,5240,1372,,,
5000,2480,,5000,2800,,5590,1288,,,
5500,2410,,5500,2760,,6160,1095,,,
6000,2470,,6000,2720,,6840,774,,,
6500,2340,,6500,2640,,7390,646,,,
7000,2320,,7000,2580,,7770,586,,,
7500,2200,,7500,2520,,8470,510,,,
8000,2220,,8000,2480,,8760,374,,,
8500,2180,,8500,2400,,,,,,
9000,2130,,9000,2350,,,,,,
9500,2200,,9500,2280,,,,,,
9750,2220,,9750,2220,,,,,,
