Year,ELA (m a.s.l.)
1960,2610
1961,2715
1962,2860
1963,2975
1964,3050
1965,2490
1966,2520
1967,2695
1968,2610
1969,2785
1970,2715
1971,2920
1972,2825
1973,3190
1974,2575
1975,2570
1976,2855
1977,2665
1978,2550
1979,2790
1980,2505
1981,2675
1982,2790
1983,2905
1984,2690
1985,2650
1986,2790
1987,2783
1988,2884
1989,2792
1990,2869
1991,3078
1992,2966
1993,2787
1994,2912
1995,2704
1996,2754
1997,2650
1998,3101
1999,2654
2000,2751
2001,2661
2002,2809
2003,3019
2004,2738
2005,2835
2006,3071
2007,2877
2008,2855
2009,2995
2010,2814
